YearM,T-Bill,US Equity,Foreign EQ,Emerging EQ,US Bond,Foreign Bond,HY Bond,Commodity,Real Estate,Hedge Fund
199001,0,-0.0785,-0.04270585,0.027203087,-0.0176,-0.022251622,-0.0245,-0.0101,-0.027998529,-0.0268
199002,0,0.0111,-0.075282883,0.033518964,-0.0025,-0.027888679,-0.0203,-0.0089,-0.039997359,0.009705046
199003,0,0.0183,-0.110371024,-0.141695348,-0.0057,-0.024152393,0.0067,0.0009,-0.004738721,0.025693201
199004,0,-0.0336,-0.014570133,0.065239489,-0.0161,-0.003678249,-0.0015,-0.0174,-0.022252548,-0.007299657
199005,0,0.0842,0.107606756,0.075338597,0.0228,0.029465372,0.0113,-0.0142,-0.007118667,0.023703086
199006,0,-0.0109,-0.014868143,0.028254638,0.0097,0.017131595,0.0127,-0.0218,0.001327678,0.014698344
199007,0,-0.019,0.007544081,0.08137421,0.007,0.044898671,0.0147,0.0757,-0.024787075,0.0081962
199008,0,-0.1015,-0.103437615,-0.134179797,-0.02,-0.010111236,-0.0449,0.1593,-0.067670459,-0.041098502
199009,0,-0.0612,-0.145073207,-0.133694311,0.0023,0.005205074,-0.0502,0.2234,-0.075306931,-0.025596346
199010,0,-0.0192,0.149339917,-0.025366262,0.0059,0.061148986,-0.0315,-0.0673,-0.041822119,-0.007205163
199011,0,0.0635,-0.064403238,-0.057885189,0.0158,0.006829366,0.0028,-0.0713,0.057990444,0.001808203
199012,0,0.0246,0.010589295,0.036262093,0.0096,-0.001424078,0.0084,-0.0257,-0.005615187,0.007496427
199101,0,0.0469,0.027425642,0.075645909,0.0072,0.033486085,0.0089,-0.0991,0.082426619,0.020696207
199102,0,0.0719,0.102692866,0.143140936,0.0037,-0.006591229,0.0694,0.0091,0.044384193,0.035403783
199103,0,0.0265,-0.064190918,0.036697809,0.0025,-0.077353406,0.0375,0.0332,0.071828145,0.045099163
199104,0,-0.0028,0.004810582,0.005232018,0.0055,0.007315138,0.0314,0.0173,0.01846279,0.008100844
199105,0,0.0365,0.006029472,0.073760805,0.0011,-0.006545627,0.0002,-0.0052,0.01889876,0.015102145
199106,0,-0.0494,-0.07741935,-0.039921509,-0.0047,-0.027379027,0.0152,-0.0279,-0.030124081,-0.000100903
199107,0,0.0424,0.044503351,0.046944952,0.009,0.023899351,0.0198,0.0462,0.014390565,0.021293807
199108,0,0.0232,-0.024663399,0.016470492,0.017,0.013602129,0.0161,0.0108,-0.003997917,0.016004015
199109,0,-0.0159,0.052058957,-0.042931932,0.0157,0.052837883,0.0085,0.0033,0.014715242,0.018600739
199110,0,0.0129,0.010226453,0.036606422,0.0069,0.009226915,0.0255,0.0245,-0.01037867,0.014096061
199111,0,-0.0419,-0.050319081,-0.018759131,0.0053,0.01422707,0.0073,-0.0443,-0.003662404,-0.00119484
199112,0,0.1084,0.048156586,0.108557325,0.0259,0.066116006,0.0082,-0.0746,0.04350987,0.035694318
199201,0,-0.0059,-0.024466627,0.112366156,-0.017,-0.022252278,0.0316,0.0241,0.046101021,0.035001316
199202,0,0.0109,-0.038317935,0.041626953,0.0037,-0.015196461,0.0217,-0.0138,-0.026013932,0.018599653
199203,0,-0.0266,-0.069138914,0.030435492,-0.009,-0.017492543,0.0109,0.0078,-0.018278867,0.002505193
199204,0,0.0107,0.001806879,-0.010146428,0.004,0.001950463,0.0041,0.0267,-0.000954113,-0.000204423
199205,0,0.003,0.064442962,-0.006387059,0.0161,0.043834809,0.0125,0.0241,0.02939361,0.01560085
199206,0,-0.0234,-0.050300138,-0.102399247,0.0106,0.035966071,0.0098,-0.0087,-0.015321212,-0.007300485
199207,0,0.0377,-0.028373209,0.007773506,0.0173,0.017809428,0.0172,-0.017,0.030743055,0.017704237
199208,0,-0.0238,0.060461622,-0.049226521,0.0075,0.03903642,0.0106,-0.0016,-0.011244359,-0.005304028
199209,0,0.0119,-0.022029502,0.000832317,0.0093,-0.014148609,0.0088,0.0089,0.021254195,0.016800136
199210,0,0.0102,-0.054450907,0.051188291,-0.0156,-0.040674377,-0.0152,-0.0243,-0.005580977,0.018800341
199211,0,0.0413,0.007417167,-0.013072444,-0.0021,-0.028851453,0.0122,-0.0151,0.017170514,0.025700025
199212,0,0.0153,0.002675034,0.026595361,0.0131,-0.000325285,0.0101,-0.0005,0.016521929,0.022502218
199301,0,0.0093,-0.002123806,0.002535629,0.0169,0.011116336,0.0217,0.0098,0.061391048,0.020897381
199302,0,0.0012,0.02830258,0.014569115,0.0153,0.010032578,0.0167,0.0094,0.044925727,0.011202276
